date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:41	14171/14171	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2022:36:40%20GMT	https://ais.osym.gov.tr/Yetki/Giris	C:/ais/ais/ais.osym.gov.tr/Yetki/Giris.html	(from )
01:36:41	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jan%202022%2022:36:41%20GMT	https://ais.osym.gov.tr/robots.txt		(from )
01:36:43	47685/47685	---MCZ	200	added ('OK')	text/css	etag:W/%226141d564-ba45%22	http://kendo.cdn.telerik.com/2015.1.429/styles/kendo.default.min.css	C:/ais/ais/kendo.cdn.telerik.com/2015.1.429/styles/kendo.default.min.css	(from https://ais.osym.gov.tr/Yetki/Giris)
01:36:43	213558/213558	---MCZ	200	added ('OK')	text/css	etag:W/%2261920d41-34236%22	http://kendo.cdn.telerik.com/2015.1.429/styles/kendo.common.min.css	C:/ais/ais/kendo.cdn.telerik.com/2015.1.429/styles/kendo.common.min.css	(from https://ais.osym.gov.tr/Yetki/Giris)
01:36:44	10003/10003	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Apr%202020%2009:07:26%20GMT	http://kendo.cdn.telerik.com/2015.1.429/js/kendo.aspnetmvc.min.js	C:/ais/ais/kendo.cdn.telerik.com/2015.1.429/js/kendo.aspnetmvc.min.js	(from https://ais.osym.gov.tr/Yetki/Giris)
01:36:50	96381/96381	---M-Z	200	added ('OK')	application/javascript	etag:%22af64bbfea2d71:0%22	https://ais.osym.gov.tr/Content/3rdParty/jQuery/jquery-1.11.0.min.js	C:/ais/ais/ais.osym.gov.tr/Content/3rdParty/jQuery/jquery-1.11.0.min.js	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:06	1475625/1475625	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2021%20Jul%202021%2007:08:27%20GMT	http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js	C:/ais/ais/kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:06	3946/3946	---M--	200	added ('OK')	image/png	etag:%2295ebd6248bf4d61:0%22	https://ais.osym.gov.tr/Content/Images/logo_ais_mobil.png	C:/ais/ais/ais.osym.gov.tr/Content/Images/logo_ais_mobil.png	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:06	4086/4086	---M-Z	200	added ('OK')	text/css	etag:%2274a14f8f85f4d61:0%22	https://ais.osym.gov.tr/Content/3rdParty/jQuery/jquery.smartbanner.css	C:/ais/ais/ais.osym.gov.tr/Content/3rdParty/jQuery/jquery.smartbanner.css	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:06	15919/15919	---M-Z	200	added ('OK')	application/javascript	etag:%22a116508f85f4d61:0%22	https://ais.osym.gov.tr/Content/3rdParty/jQuery/jquery.smartbanner.js	C:/ais/ais/ais.osym.gov.tr/Content/3rdParty/jQuery/jquery.smartbanner.js	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:06	6138/6138	---M--	200	added ('OK')	image/gif	etag:%22bddd2c368f76d41:0%22	https://ais.osym.gov.tr/Content/Images/image-loading.gif	C:/ais/ais/ais.osym.gov.tr/Content/Images/image-loading.gif	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:07	361/361	---M--	302	error ('Found')	text/html	date:Thu,%2027%20Jan%202022%2022:37:07%20GMT	https://ais.osym.gov.tr/Yetki/EDevletLogin	C:/ais/ais/ais.osym.gov.tr/Yetki/EDevletLogin	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:07	3608/3608	---M--	200	added ('OK')	image/png	etag:%22e6579415929d61:0%22	https://ais.osym.gov.tr/Content/Images/e-devlet-girisyap-button.png	C:/ais/ais/ais.osym.gov.tr/Content/Images/e-devlet-girisyap-button.png	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:07	380/380	---M--	302	error ('Found')	text/html	date:Thu,%2027%20Jan%202022%2022:37:07%20GMT	https://ais.osym.gov.tr/Yetki/EDevletLogin?giristuru=edevletileadaykayit	C:/ais/ais/ais.osym.gov.tr/Yetki/EDevletLogin86c5	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:07	3476/3476	---M--	200	added ('OK')	image/png	etag:%2259f49415929d61:0%22	https://ais.osym.gov.tr/Content/Images/e-devlet-kayitol-button.png	C:/ais/ais/ais.osym.gov.tr/Content/Images/e-devlet-kayitol-button.png	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:08	18037/18037	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2022:37:07%20GMT	https://ais.osym.gov.tr/Yetki/SifremiUnuttum	C:/ais/ais/ais.osym.gov.tr/Yetki/SifremiUnuttum.html	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:08	3612/3612	---M--	200	added ('OK')	image/png	etag:%22c4dee5062e2d51:0%22	https://ais.osym.gov.tr/Content/Images/app_download_apple.png	C:/ais/ais/ais.osym.gov.tr/Content/Images/app_download_apple.png	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:08	5210/5210	---M--	200	added ('OK')	image/png	etag:%228398ed5062e2d51:0%22	https://ais.osym.gov.tr/Content/Images/app_download_google.png	C:/ais/ais/ais.osym.gov.tr/Content/Images/app_download_google.png	(from https://ais.osym.gov.tr/Yetki/Giris)
01:37:08	2162/2162	---M--	200	added ('OK')	image/png	etag:%229ccfc358f76d41:0%22	https://ais.osym.gov.tr/Content/Images/icon-callcenter.png	C:/ais/ais/ais.osym.gov.tr/Content/Images/icon-callcenter.png	(from https://ais.osym.gov.tr/Yetki/Giris)
